No,Provert
1,က ချင်လျက် လက်ကျိုး
2,ကတွတ်ပေါက် ဗျိုင်းစောင့်
3,က ရိုး မက ဆန်း၍က နှပ်ပစ်ခံရ
4,ကလိမ်စေ့ ငြမ်းဆင်
5,ကုသိုလ်တစ်ပဲ ငရဲတစ်ပိဿာ
6,ကုသိုလ်ဖန် ဗိမာန်အသင့် ဘုံအသင့်
7,ကုသိုလ်လည်း ရ ဝမ်းလည်း ဝ
8,ကံကောင်းတဲ့ကျား သွားရင်း သမင်တွေ့
9,ကံဆိုးမသွားလေရာ မိုးလိုက်လို့ရွာ
10,ကံမခိုင် သံတိုင်အိမ်ဆောက်သော်လည်း ကံမှောက်လျှင်ကျိုး
11,ကံမရှိ ဉာဏ်ရှိတိုင်းမွဲ
12,ကံယုံ၍ ဆူးပုံမနင်းရာ
13,ကံယုံ မီးပုံမဆင်းရာ
14,ကောက်ညှင်းက မစေး ဆန်ကြမ်းက စေး
15,ကောက်တိုင်းရ စလုတ်မဆံ့နိုင်
16,ကောက်သော် မစားလောက် ဖြောင့်သော် စားမနိုင်
17,ကောက်သင်းကောက်က အနှံကြီးကြိုက်
18,ကင်းခြေများ ခြေတစ်ချောင်းကျိုး၍ အသွားမပျက်
19,ကောင်းကင်တက် လက်ဝှေ့သတ်
20,ကောင်းမှန်းသိ သာအိတစိုစို
21,ကိုင်းကျွန်းမှီ ကျွန်းကိုင်းမှီ
22,ကတ်မည့်ကတ် အပ် ဦးပဲ့ထမ်း
23,ကုန်းပေါ်ရောက်မှ ရေမမွန်းစေနှင့်
24,ကမ္ဘာမီးလောင် သားကောင်ချနင်း
25,ကိုယ်ကကျူး ကိုယ့်ဒူးမယုံ
26,ကိုယ်ကောင်း ခေါင်းဘယ်မရွေ့
27,ကိုယ်တင်သည့်စစ်ကဲ ကိုယ်ချ၍မရ
28,ကိုယ်ထင် ခုတင်ရွှေနန်း
29,ကိုယ်မချိ အမိသော်လည်း သားတော်ခဲ
30,ကိုယ့်ကို ကိုယ်ဖော် မသူတော် ခုနစ်ပါး
